City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
278,Bintulu,MY,80.6,scattered clouds,3.1667,113.0333,900 Boutique INN
279,Pacific Grove,US,78.42,scattered clouds,36.6177,-121.9166,Lovers Point Inn
280,Beloha,MG,68.0,overcast clouds,-25.1667,45.05,
281,Nador,MA,69.8,clear sky,35.174,-2.9287,Hôtel La Giralda
284,Sao Jose Da Coroa Grande,BR,77.83,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
286,Tabou,CI,79.83,overcast clouds,4.423,-7.3528,hotêl doufoulougou
287,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
289,Alyangula,AU,66.2,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
292,San Fernando,PH,78.8,broken clouds,15.0286,120.6898,Maharlika Hostel
293,Hauterive,FR,70.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
297,Alofi,NU,73.29,light rain,-19.0595,-169.9187,Taloa Heights
298,Biak,ID,76.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
299,Guerrero Negro,MX,74.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
300,Hasaki,JP,70.09,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
303,Faya,SA,80.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
304,Shenjiamen,CN,66.56,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
308,Bubaque,GW,78.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
309,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
311,Aksu,CN,74.03,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
312,Padang,ID,78.64,overcast clouds,-0.9492,100.3543,Mercure Padang
314,Kalaleh,IR,72.28,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
315,Santa Isabel Do Rio Negro,BR,80.06,moderate rain,-0.4139,-65.0192,Hotel GSA
318,Kununurra,AU,71.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
320,Payo,ID,74.08,broken clouds,-3.7508,103.6372,Mess keban agung
321,Moerai,PF,77.38,clear sky,-22.4333,-151.3333,Le Manotel
326,Nantucket,US,68.61,mist,41.2835,-70.0995,Jared Coffin House
327,Thinadhoo,MV,83.77,overcast clouds,0.5333,72.9333,
328,Ambilobe,MG,69.85,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
329,Seymour,US,74.75,moderate rain,38.9592,-85.8903,Fairfield Inn & Suites by Marriott Seymour
330,Conceicao Das Alagoas,BR,82.4,scattered clouds,-19.9147,-48.3883,Bouganville Hotel
331,Sungairaya,ID,79.65,overcast clouds,0.7,108.9,Mess P.Milu
332,Prince George,CA,68.25,scattered clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
337,Derzhavinsk,KZ,71.94,overcast clouds,51.1,66.3167,Ooo.khim Baza
338,Monte Carmelo,BR,79.92,scattered clouds,-18.7247,-47.4986,Park hotel
342,Kattivakkam,IN,84.99,few clouds,13.2167,80.3167,Raj's villa
343,Karratha,AU,66.85,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
344,Bandarbeyla,SO,79.92,overcast clouds,9.4942,50.8122,JABIR HOTEL
345,Kapit,MY,75.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
347,Havelock,US,79.0,broken clouds,34.8791,-76.9013,Sherwood Motel
351,Sikonge,TZ,69.89,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
352,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
354,Odweyne,SO,77.23,overcast clouds,9.4092,45.064,Eng Hiirey House
357,Pecos,US,83.05,clear sky,31.4229,-103.4932,Knights Inn Pecos
359,Machico,PT,67.28,broken clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
360,Hambantota,LK,79.52,overcast clouds,6.1241,81.1185,Bungalow 63
362,Itupiranga,BR,80.92,scattered clouds,-5.1347,-49.3267,Hotel Panorama
364,Athens,GR,72.18,few clouds,37.9795,23.7162,Novotel Athenes
365,Kandrian,PG,77.29,broken clouds,-6.2167,149.55,Kandrian Station
370,Nishihara,JP,82.45,broken clouds,26.1842,127.7558,Minshuku Agaihama
372,Ponta Do Sol,PT,65.12,broken clouds,32.6667,-17.1,Hotel do Campo
375,Poum,NC,74.03,overcast clouds,-20.2333,164.0167,Gîte kajeon
380,Igurubi,TZ,73.42,overcast clouds,-4.0,33.7,
382,Lima,PE,68.9,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
387,Hommelvik,NO,76.96,clear sky,63.4108,10.7942,Best Western Stav Hotel
389,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
390,Katol,IN,82.96,broken clouds,21.2667,78.5833,Rocks Celibration lawn
391,Kiunga,PG,73.44,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
394,Samarai,PG,78.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
399,Pyapon,MM,83.37,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
401,Clinton,US,81.55,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
403,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
406,Creel,MX,68.58,overcast clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
407,Santa Marta,CO,83.3,overcast clouds,11.2408,-74.199,Casa de Isabella
408,Norsup,VU,74.43,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
411,Chapais,CA,74.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
416,Sabang,ID,82.49,heavy intensity rain,5.8933,95.3214,Hotel Citra
419,Fasa,IR,83.44,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
425,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
426,Warwick,US,72.01,overcast clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
428,Nara,JP,69.91,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
430,Ifakara,TZ,73.56,overcast clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
431,Dustlik,UZ,79.32,clear sky,40.5247,68.0358,
432,San Jose Del Guaviare,CO,81.16,heavy intensity rain,2.5729,-72.6459,Hotel Aeropuerto
434,Omboue,GA,76.71,clear sky,-1.5746,9.2618,Hotel Olako
435,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
