City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
211,Comodoro Rivadavia,AR,2021-06-03 19:40:56,-45.8667,-67.5,46.26,87,75,0.0,light rain
212,Bijapur,IN,2021-06-03 19:40:57,16.8333,75.7,75.43,79,100,7.38,overcast clouds
213,Port Macquarie,AU,2021-06-03 19:40:20,-31.4333,152.9167,54.0,99,3,8.66,clear sky
214,Lazaro Cardenas,MX,2021-06-03 19:36:31,17.9583,-102.2,87.6,56,92,10.2,overcast clouds
215,Kismayo,SO,2021-06-03 19:40:57,-0.3582,42.5454,78.71,85,72,17.34,broken clouds
216,Vao,NC,2021-06-03 19:40:58,-22.6667,167.4833,71.26,73,78,18.39,broken clouds
217,Yulara,AU,2021-06-03 19:40:58,-25.2406,130.9889,49.84,76,69,9.22,broken clouds
218,Pevek,RU,2021-06-03 19:40:58,69.7008,170.3133,34.12,74,76,2.15,broken clouds
219,Darab,IR,2021-06-03 19:40:59,28.7519,54.5444,86.99,11,23,1.7,few clouds
220,Aleksandrov Gay,RU,2021-06-03 19:40:59,50.147,48.5704,57.11,95,100,14.41,overcast clouds
221,Normandin,CA,2021-06-03 19:40:59,48.8333,-72.5321,73.53,49,100,17.27,overcast clouds
222,Ukiah,US,2021-06-03 19:41:00,39.1502,-123.2078,101.03,25,1,3.44,clear sky
223,Diego De Almagro,CL,2021-06-03 19:41:00,-26.3667,-70.05,76.24,29,0,7.56,clear sky
224,Ballina,AU,2021-06-03 19:41:01,-28.8667,153.5667,57.94,78,0,5.75,clear sky
225,Bathsheba,BB,2021-06-03 19:37:32,13.2167,-59.5167,86.61,54,40,16.84,scattered clouds
226,Sao Joao Da Barra,BR,2021-06-03 19:41:01,-21.6403,-41.0511,87.89,79,0,8.66,clear sky
227,Tromso,NO,2021-06-03 19:41:02,69.6496,18.957,66.85,51,0,4.61,clear sky
228,Cordoba,AR,2021-06-03 19:36:27,-31.4135,-64.1811,81.75,35,0,5.01,clear sky
229,Port Alfred,ZA,2021-06-03 19:41:02,-33.5906,26.891,58.98,60,72,2.8,broken clouds
230,Oranjemund,NA,2021-06-03 19:41:02,-28.55,16.4333,65.82,42,0,8.99,clear sky
231,Qui Nhon,VN,2021-06-03 19:41:03,13.7667,109.2333,82.56,74,9,5.84,clear sky
232,Isangel,VU,2021-06-03 19:41:03,-19.55,169.2667,72.88,76,28,8.95,scattered clouds
233,Byron Bay,AU,2021-06-03 19:41:03,-28.65,153.6167,57.87,75,0,11.1,clear sky
234,Mahebourg,MU,2021-06-03 19:38:51,-20.4081,57.7,74.25,83,75,11.5,light rain
235,Paciran,ID,2021-06-03 19:41:04,-6.8767,112.3761,78.58,85,70,9.26,broken clouds
236,Show Low,US,2021-06-03 19:40:49,34.2542,-110.0298,89.29,15,40,16.11,scattered clouds
237,Nelson,NZ,2021-06-03 19:41:05,-41.2833,173.2833,42.3,92,80,4.0,broken clouds
238,Vanimo,PG,2021-06-03 19:41:05,-2.6741,141.3028,77.29,89,79,3.51,broken clouds
239,Khatanga,RU,2021-06-03 19:41:05,71.9667,102.5,31.84,89,100,5.61,overcast clouds
240,Moose Factory,CA,2021-06-03 19:41:06,51.2585,-80.6094,62.58,88,75,8.05,broken clouds
241,Nouakchott,MR,2021-06-03 19:41:06,18.0858,-15.9785,72.36,68,4,26.17,clear sky
